Chooser	LeftChosen	RightChosen	ChooserSpecies	ChooserSex	ChosenExperience	CrossFoster	VisitedBothInAccl	StartRecordTime	TotalTrialLength	LeftinLeft	LeftinCenter	LeftinRight	CenterinLeft	CenterinCenter	CenterinRight	RightinLeft	RightinCenter	RightinRight	CenterGlobalOverlapWithLeft	CenterGlobalOverlapWithRight	CenterOverlapWithLeftinLeft	CenterOverlapWithRightinRight	PrefForLeft	PrefForRight	PrefForL	PrefForG	PrefInd	Mate
GOF614cfw	LLM504	GOM640	G	F	virgin	cfw	Y	25.02.2014 11:10:00	321399	155659	0	0	131070	190249	80	0	41229	114430	49	132187	49	92634	0.000528684	0.999471316	0.000528684	0.999471316	C	C
GOM628cfw	GOF721	LLF620	G	M	virgin	cfw	Y	27.04.2014 12:52:49	160649	160649	0	0	2	160645	2	0	0	160649	2	2	2	2	0.5	0.5	0.5	0.5	NA	
GOF712cfw	GOM720	LLM607	G	F	virgin	cfw	N	02.05.2014 14:29:59	251237	251237	0	0	3350	247882	5	0	0	251237	3350	5	3350	5	0.998509687	0.001490313	0.001490313	0.998509687	C	
GOM616cfw	LLF637	GOF677	G	M	virgin	cfw	Y	07.05.2014 13:46:56	78255	78255	0	0	1191	67512	9552	0	0	78255	1191	9552	1191	9552	0.110862887	0.889137113	0.110862887	0.889137113	C	
GOM715cfw	GOF769	LLF606	G	M	virgin	cfw	Y	14.05.2014 11:00:47	168001	106753	36523	24725	106753	36523	24725	0	0	168001	106753	24725	106753	24725	0.811945725	0.188054275	0.188054275	0.811945725	C	
GOM628cfw	GOF721	LLF665	G	M	virgin	cfw	Y	22.05.2014 05:00:55	140502	140502	0	0	54	140057	391	0	0	140502	54	391	54	391	0.121348315	0.878651685	0.878651685	0.121348315	H	
GOM780cfw	LLF662	GOF762	G	M	virgin	cfw	Y	30.05.2014 14:23:05	79659	79659	0	0	7948	33186	38525	57	5549	74053	7948	38525	7948	36810	0.177577193	0.822422807	0.177577193	0.822422807	C	
GOF797cfw	LLM639	GOM768	G	F	virgin	cfw	N	20.06.2014 05:11:27	133430	133430	0	0	11381	115005	7044	0	0	133430	11381	7044	11381	7044	0.617693351	0.382306649	0.617693351	0.382306649	H	
GOF714cfw	LLM646	GOM666	G	F	virgin	cfw	Y	25.06.2014 12:34:57	160395	160395	0	0	522	109266	50607	0	0	160395	522	50607	522	50607	0.01020947	0.98979053	0.01020947	0.98979053	C	
GOF713cfw	GOM788	LLM650	G	F	virgin	cfw	Y	01.07.2014 12:14:54	156071	156071	0	0	24106	124481	7484	0	0	156071	23998	7229	23998	7229	0.768501617	0.231498383	0.231498383	0.768501617	C	
GOM897cfw	GOF848	LLF668	G	M	virgin	cfw	Y	25.08.2014 12:59:59	159746	163474	66	0	15390	139021	9129	0	0	163540	15390	9129	15390	9129	0.627676496	0.372323504	0.372323504	0.627676496	C	
GOF325	GOM314	LLM171	G	F	experienced	pure	Y	14.05.2012 07:22:48	153678	147934	5740	4	39292	103897	10489	0	869	152809	39292	10489	36258	10031	0.783296247	0.216703753	0.216703753	0.783296247	C	
GOF326	GOM314	LLM171	G	F	experienced	pure	Y	25.05.2012 19:10:22	183706	180143	2080	1483	143495	28268	11943	143495	27451	12760	143495	11943	141759	11943	0.922297693	0.077702307	0.077702307	0.922297693	C	
GOF338	GOM238	LLM169	G	F	experienced	pure	Y	10.06.2012 10:05:28	232367	231444	923	0	123539	93703	15125	0	15036	217331	123539	15125	122835	8143	0.937829254	0.062170746	0.062170746	0.937829254	C	
