nose_sp,nose_sex,nose_geography,nose_population,stimA,stimB,A_snif_(s),B_snif_(s)
musculus,1,border,B,H5,mus_border,5.65,3.15
musculus,1,border,B,H5,mus_border,7.34,11
musculus,1,border,B,H5,mus_border,5.26,15.62
musculus,1,border,La,H5,mus_border,5.8,18.83
musculus,1,border,La,H5,mus_border,7.51,20.17
musculus,1,border,La,H5,mus_border,1.63,1.13
musculus,1,border,La,H5,mus_border,6.39,28.27
musculus,1,border,M,H5,mus_border,18.73,18.31
musculus,1,border,M,H5,mus_border,6.87,11.2
musculus,1,border,M,H5,mus_border,6.78,2.53
musculus,1,border,La,H6,mus_border,10.13,13.07
musculus,1,border,M,H6,mus_border,17.67,25.41
musculus,1,border,B,H6,mus_border,4.31,11.16
musculus,1,border,B,H6,mus_border,7.18,8.38
musculus,1,border,B,H6,mus_border,2.27,3.27
musculus,1,border,La,H6,mus_border,9.58,11.66
musculus,1,border,La,H6,mus_border,10.67,23.24
musculus,1,border,La,H6,mus_border,4.76,7.93
musculus,1,border,M,H6,mus_border,15.66,16.34
musculus,1,border,M,H6,mus_border,8.06,15.92
musculus,1,border,B,H7,mus_border,9.39,19.3
musculus,1,border,La,H7,mus_border,3.71,27.56
musculus,1,border,B,H7,mus_border,8.03,13.81
musculus,1,border,B,H7,mus_border,8.08,26.1
musculus,1,border,La,H7,mus_border,11.59,15.16
musculus,1,border,La,H7,mus_border,5.21,15.24
musculus,1,border,La,H7,mus_border,6.72,19.47
musculus,1,border,M,H7,mus_border,10.86,20.59
musculus,1,border,M,H7,mus_border,3.19,8.9
musculus,1,border,M,H7,mus_border,8.34,10.61
musculus,2,border,B,H2,mus_border,2.19,2.85
musculus,2,border,La,H2,mus_border,2.47,3.36
musculus,2,border,La,H2,mus_border,2.49,4.33
musculus,2,border,M,H2,mus_border,3.22,1.84
musculus,2,border,B,H2,mus_border,5.78,8.06
musculus,2,border,B,H2,mus_border,1.37,8.12
musculus,2,border,La,H2,mus_border,2.32,6.33
musculus,2,border,La,H2,mus_border,1.86,5.48
musculus,2,border,M,H2,mus_border,5.51,2.5
musculus,2,border,M,H2,mus_border,0.99,1.73
musculus,2,border,M,H2,mus_border,2.71,4.23
musculus,2,border,B,H3,mus_border,5.48,10
musculus,2,border,B,H3,mus_border,10.55,4.24
musculus,2,border,La,H3,mus_border,2.56,4.43
musculus,2,border,La,H3,mus_border,3.13,5.97
musculus,2,border,La,H3,mus_border,12.42,7.93
musculus,2,border,M,H3,mus_border,8.61,8.32
musculus,2,border,M,H3,mus_border,3.66,3.11
musculus,2,border,M,H3,mus_border,8.75,4.88
musculus,2,border,M,H3,mus_border,5.36,8.31
musculus,2,border,M,H3,mus_border,6.83,13.33
musculus,2,border,B,H4,mus_border,3.48,4.07
musculus,2,border,B,H4,mus_border,3.67,5.45
musculus,2,border,La,H4,mus_border,5.67,3.32
musculus,2,border,La,H4,mus_border,2.62,4.53
musculus,2,border,La,H4,mus_border,3.71,16.44
musculus,2,border,M,H4,mus_border,3.02,6.69
musculus,2,border,M,H4,mus_border,3.64,4.55
musculus,2,border,M,H4,mus_border,7.91,6.11
musculus,2,border,M,H4,mus_border,3.64,3.31
musculus,2,border,B,H4,mus_border,4.17,4.41
musculus,2,border,B,H5&6,mus_border,3.97,5.63
musculus,2,border,M,H5&6,mus_border,2.27,5.49
musculus,2,border,B,H5&6,mus_border,8.59,7.99
musculus,2,border,B,H5&6,mus_border,5.61,6.68
musculus,2,border,La,H5&6,mus_border,1.91,4.28
musculus,2,border,La,H5&6,mus_border,9.23,10.98
musculus,2,border,M,H5&6,mus_border,6.27,9.46
musculus,2,border,M,H5&6,mus_border,5.11,5.01
musculus,2,border,M,H5&6,mus_border,1.87,7.2
musculus,2,border,M,H5&6,mus_border,2.5,2.97
musculus,2,border,B,H7,mus_border,1.72,3.65
musculus,2,border,M,H7,mus_border,1.41,6.57
musculus,2,border,B,H7,mus_border,6.69,8.05
musculus,2,border,B,H7,mus_border,9.61,8.05
musculus,2,border,La,H7,mus_border,3.22,4.34
musculus,2,border,La,H7,mus_border,5.09,5.04
musculus,2,border,La,H7,mus_border,2.42,3.32
musculus,2,border,La,H7,mus_border,6.52,5.77
musculus,2,border,M,H7,mus_border,9.2,2.13
musculus,2,border,M,H7,mus_border,7.5,6.04
musculus,1,allopatry,H,H1,mus_border,16.58,10.91
musculus,1,allopatry,H,H1,mus_border,19.43,14.67
musculus,1,allopatry,H,H1,mus_border,4.05,15.32
musculus,1,allopatry,H,H1,mus_border,5.97,22.31
musculus,1,allopatry,H,H1,mus_border,7.63,16.7
musculus,1,allopatry,H,H1,mus_border,7.9,12.32
musculus,1,allopatry,H,H1,mus_border,17.22,14.6
musculus,1,allopatry,H,H1,mus_border,8.67,9.57
musculus,1,allopatry,H,H1,mus_border,7.48,13.91
musculus,1,allopatry,H,H1,mus_border,2.22,2.96
musculus,1,allopatry,H,H1,mus_border,13.44,13.17
musculus,1,allopatry,H,H1,mus_border,1.71,4.1
musculus,1,allopatry,R,H1,mus_border,4.09,9.19
