setup,female,male,Generation_female,Generation_male,Phase_siring,Number_offspring,inbreeding_status,female_origin,male_origin,familiarity
II roomB,2622,768,F1,F1,8,6,no,FF,FF,new
II roomB,2622,2619,F1,F1,10,10,fullsibs (littermate),FF,FF,new
II roomB,2638,115,F1,F0,6,1,no,FF,F,new
II roomB,2638,774,F1,F1,10,3,no,FF,GF,repeated
II roomB,2638,774,F1,F1,6,6,no,FF,GF,new
II roomB,2638,2672,F1,F1F0BC,10,1,no,FF,GF.F,new
II roomB,2638,2829,F1,F2,10,1,mother-son,FF,FF.GF,new
II roomB,2641,774,F2,F1,10,3,daughter-father,FF.GF,GF,new
II roomB,2641,2672,F2,F1F0BC,10,2,no,FF.GF,GF.F,new
II roomB,2644,115,F1,F0,6,1,no,FF,F,new
II roomB,2644,774,F1,F1,6,1,no,FF,GF,new
II roomB,2644,774,F1,F1,9,7,no,FF,GF,repeated
II roomB,2644,774,F1,F1,8,2,no,FF,GF,repeated
II roomB,2681,2619,F1,F1,7,2,no,GG,FF,new
II roomB,2681,2619,F1,F1,8,7,no,GG,FF,repeated
II roomB,2681,3004,F1,F1,7,1,no,GG,FF,new
II roomB,2712,748,F1,F1,10,7,no,GG,GG,new
II roomB,2715,114,F1,F0,6,1,no,GG,F,new
II roomB,2715,748,F1,F1,10,6,fullsibs (littermate),GG,GG,new
II roomB,2715,777,F1,F1,6,1,no,GG,FF,new
II roomB,2715,2680,F1,F1,8,3,fullsibs (littermate),GG,GG,new
II roomB,2715,2716,F1,F1,10,1,no,GG,GG,new
II roomB,2717,748,F1,F1,10,4,no,GF,GG,new
II roomB,2717,2716,F1,F1,10,2,no,GF,GG,new
II roomB,2761,748,F1,F1,10,4,no,GF,GG,new
II roomB,2779,774,F1,F1,6,2,no,FF,GF,new
II roomB,2779,774,F1,F1,8,3,no,FF,GF,repeated
II roomB,2812,2787,F1,F1,10,5,no,FG,GG,new
II roomB,2832,770,F1,F1,8,4,no,FG,GF,new
II roomB,2832,774,F1,F1,8,1,no,FG,GF,new
,,,,,,,,,"SO, I am thinking I want to just remove all of siring phase 10, because up until this point there are no wonky origins. ",
